Entity,Type,http://xmlns.com/foaf/0.1/firstName,http://xmlns.com/foaf/0.1/surname,[full name]
http://lexbib.org/agents/person#SmithOreChristianEmil,NamedIndividual,Christian-Emil,Smith Ore,Christian-Emil Smith Ore
http://lexbib.org/agents/person#StankovicRanka,NamedIndividual,Ranka,Stanković,Ranka Stanković
http://lexbib.org/agents/person#SteingrimssonSteinþor,NamedIndividual,Steinþór,Steingrímsson,Steinþór Steingrímsson
http://lexbib.org/agents/person#StemleEgonW,NamedIndividual,Egon W.,Stemle,Egon W. Stemle
http://lexbib.org/agents/person#StepankovaBarbora,NamedIndividual,Barbora,Štěpánková,Barbora Štěpánková
http://lexbib.org/agents/person#StijovicRada,NamedIndividual,Rada,Stijović,Rada Stijović
http://lexbib.org/agents/person#StorjohannPetra,NamedIndividual,Petra,Storjohann,Petra Storjohann
http://lexbib.org/agents/person#StosicDejan,NamedIndividual,Dejan,Stosic,Dejan Stosic
http://lexbib.org/agents/person#SuleKatalin,NamedIndividual,Katalin,Sule,Katalin Sule
http://lexbib.org/agents/person#SørensenNicolaiH,NamedIndividual,Nicolai H.,Sørensen,Nicolai H. Sørensen
http://lexbib.org/agents/person#TavastArvi,NamedIndividual,Arvi,Tavast,Arvi Tavast
http://lexbib.org/agents/person#TiberiusCarole,NamedIndividual,Carole,Tiberius,Carole Tiberius
http://lexbib.org/agents/person#TittelSabine,NamedIndividual,Sabine,Tittel,Sabine Tittel
http://lexbib.org/agents/person#TrapJensenLars,NamedIndividual,Lars,Trap-Jensen,Lars Trap-Jensen
http://lexbib.org/agents/person#TroelsgardThomas,NamedIndividual,Thomas,Troelsgård,Thomas Troelsgård
http://lexbib.org/agents/person#VacalopoulouAnna,NamedIndividual,Anna,Vacalopoulou,Anna Vacalopoulou
http://lexbib.org/agents/person#ValcarcelRiveiroCarlos,NamedIndividual,Carlos,Valcárcel Riveiro,Carlos Valcárcel Riveiro
http://lexbib.org/agents/person#VasilakiKiki,NamedIndividual,Kiki,Vasilaki,Kiki Vasilaki
http://lexbib.org/agents/person#VavilovaZhanna,NamedIndividual,Zhanna,Vavilova,Zhanna Vavilova
http://lexbib.org/agents/person#VeisbergsAndrejs,NamedIndividual,Andrejs,Veisbergs,Andrejs Veisbergs
http://lexbib.org/agents/person#VillalvaAlina,NamedIndividual,Alina,Villalva,Alina Villalva
http://lexbib.org/agents/person#VitasDusko,NamedIndividual,Duško,Vitas,Duško Vitas
http://lexbib.org/agents/person#VodrazkovaVeronika,NamedIndividual,Veronika,Vodrážková,Veronika Vodrážková
http://lexbib.org/agents/person#VrbincAlenka,NamedIndividual,Alenka,Vrbinc,Alenka Vrbinc
http://lexbib.org/agents/person#WahlSabrina,NamedIndividual,Sabrina,Wähl,Sabrina Wähl
http://lexbib.org/agents/person#WiatrAleksander,NamedIndividual,Aleksander,Wiatr,Aleksander Wiatr
http://lexbib.org/agents/person#WillsTarrin,NamedIndividual,Tarrin,Wills,Tarrin Wills
http://lexbib.org/agents/person#WissikTanja,NamedIndividual,Tanja,Wissik,Tanja Wissik
http://lexbib.org/agents/person#WolferSascha,NamedIndividual,Sascha,Wolfer,Sascha Wolfer
http://lexbib.org/agents/person#ZmigrodzkiPiotr,NamedIndividual,Piotr,Żmigrodzki,Piotr Żmigrodzki
