Entity,http://xmlns.com/foaf/0.1/firstName,http://xmlns.com/foaf/0.1/surname,[full name],[VIAF ID],[VIAF URI]
http://lexbib.org/agents/person#GilBerrozpeJuanCarlos,Juan Carlos,Gil-Berrozpe,Juan Carlos Gil-Berrozpe,,
http://lexbib.org/agents/person#GiunchigliaFausto,Fausto,Giunchiglia,Fausto Giunchiglia,44550451,https://viaf.org/viaf/44550451
http://lexbib.org/agents/person#GizatovaGuzel,Guzel,Gizatova,Guzel Gizatova,233190770,https://viaf.org/viaf/233190770
http://lexbib.org/agents/person#GorjancVojko,Vojko,Gorjanc,Vojko Gorjanc,70862170,https://viaf.org/viaf/70862170
http://lexbib.org/agents/person#GrangerSylviane,Sylviane,Granger,Sylviane Granger,267837002,https://viaf.org/viaf/267837002
http://lexbib.org/agents/person#GrønvikOddrun,Oddrun,Grønvik,Oddrun Grønvik,40920814,https://viaf.org/viaf/40920814
http://lexbib.org/agents/person#HamalainenMika,Mika,Hämäläinen,Mika Hämäläinen,,
http://lexbib.org/agents/person#HeidUlrich,Ulrich,Heid,Ulrich Heid,,
http://lexbib.org/agents/person#HoldtSpelaArhar,Špela Arhar,Holdt,Špela Arhar Holdt,,
http://lexbib.org/agents/person#HorakAles,Aleš,Horák,Aleš Horák,,
http://lexbib.org/agents/person#HuertasMiguelanezMercedes,Mercedes,Huertas-Migueláñez,Mercedes Huertas-Migueláñez,,
http://lexbib.org/agents/person#JanssenMaarten,Maarten,Janssen,Maarten Janssen,,
http://lexbib.org/agents/person#JohannssonEllertThor,Ellert Thor,Johannsson,Ellert Thor Johannsson,,
http://lexbib.org/agents/person#JonsdottirHalldora,Halldóra,Jónsdóttir,Halldóra Jónsdóttir,19778426,https://viaf.org/viaf/19778426
http://lexbib.org/agents/person#JungHaeYun,Hae-Yun,Jung,Hae-Yun Jung,,
http://lexbib.org/agents/person#KabashiBesim,Besim,Kabashi,Besim Kabashi,,
http://lexbib.org/agents/person#KallasJelena,Jelena,Kallas,Jelena Kallas,,
http://lexbib.org/agents/person#KardanovaBiryukovaKseniaS,Ksenia S.,Kardanova-Biryukova,Ksenia S. Kardanova-Biryukova,,
http://lexbib.org/agents/person#KettnerovaVaclava,Václava,Kettnerová,Václava Kettnerová,,
http://lexbib.org/agents/person#KhanAnasFahad,Anas Fahad,Khan,Anas Fahad Khan,,
